Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Scraped Time
TezosXTZ,$1.53,2024-12-15 19:16:39,,,,,,
RaydiumRAY,$5.29,2024-12-15 19:16:39,,,,,,
Ethereum Name ServiceENS,$43.66,2024-12-15 19:16:39,,,,,,
JupiterJUP,$1.09,2024-12-15 19:16:39,,,,,,
FlowFLOW,$0.95,2024-12-15 19:16:39,,,,,,
ArweaveAR,$22.08,2024-12-15 19:16:39,,,,,,
Aerodrome FinanceAERO,$2.03,2024-12-15 19:16:39,,,,,,
StarknetSTRK,$0.63,2024-12-15 19:16:39,,,,,,
MovementMOVE,$0.63,2024-12-15 19:16:39,,,,,,
Curve DAO TokenCRV,$1.12,2024-12-15 19:16:39,,,,,,
dYdX (Native)DYDX,$2.16,2024-12-15 19:16:39,,,,,,
IOTAIOTA,$0.39,2024-12-15 19:16:39,,,,,,
Bitcoin SVBSV,$66.02,2024-12-15 19:16:39,,,,,,
MultiversXEGLD,$47.01,2024-12-15 19:16:39,,,,,,
AIOZ NetworkAIOZ,$1.13,2024-12-15 19:16:39,,,,,,
CoreCORE,$1.38,2024-12-15 19:16:39,,,,,,
BitTorrent [New]BTT,$0.00,2024-12-15 19:16:39,,,,,,
NeoNEO,$18.15,2024-12-15 19:16:39,,,,,,
XDC NetworkXDC,$0.08,2024-12-15 19:16:39,,,,,,
DecentralandMANA,$0.63,2024-12-15 19:16:39,,,,,,
Axie InfinityAXS,$7.69,2024-12-15 19:16:39,,,,,,
GateTokenGT,$13.49,2024-12-15 19:16:39,,,,,,
